Strain (%),Stress (MPa),Time (sec)
22.4,3.156,56
22.4,3.156,56
22.5,3.156,56
22.5,3.156,56
22.5,3.164,56
22.5,3.164,57
22.6,3.164,57
22.6,3.156,57
22.6,3.164,57
22.6,3.164,57
22.7,3.164,57
22.7,3.164,57
22.7,3.171,57
22.7,3.171,57
22.8,3.171,57
22.8,3.171,57
22.8,3.171,57
22.8,3.171,57
22.9,3.179,57
22.9,3.179,57
22.9,3.179,57
22.9,3.179,58
23,3.179,58
23,3.179,58
23,3.187,58
23,3.187,58
23.1,3.187,58
23.1,3.187,58
23.1,3.194,58
23.1,3.187,58
23.2,3.187,58
23.2,3.187,58
23.2,3.194,58
23.2,3.194,58
23.3,3.194,58
23.3,3.194,58
23.3,3.194,58
23.3,3.194,59
23.4,3.194,59
23.4,3.194,59
23.4,3.202,59
23.4,3.202,59
23.5,3.202,59
23.5,3.202,59
23.5,3.202,59
23.5,3.202,59
23.6,3.202,59
23.6,3.202,59
23.6,3.21,59
23.6,3.21,59
23.7,3.21,59
23.7,3.218,59
23.7,3.218,59
23.7,3.218,60
23.8,3.218,60
23.8,3.218,60
23.8,3.218,60
23.8,3.225,60
23.9,3.225,60
23.9,3.225,60
23.9,3.225,60
23.9,3.225,60
24,3.225,60
24,3.225,60
24,3.225,60
24,3.233,60
24.1,3.233,60
24.1,3.225,60
24.1,3.233,60
24.1,3.233,61
24.2,3.241,61
24.2,3.241,61
24.2,3.233,61
24.2,3.233,61
24.3,3.241,61
24.3,3.241,61
24.3,3.241,61
24.3,3.241,61
24.4,3.241,61
24.4,3.241,61
24.4,3.248,61
24.4,3.248,61
24.5,3.248,61
24.5,3.248,61
24.5,3.248,61
24.5,3.248,62
24.6,3.248,62
24.6,3.248,62
24.6,3.256,62
24.6,3.256,62
24.7,3.256,62
24.7,3.256,62
24.7,3.256,62
24.7,3.264,62
24.7,3.264,62
24.8,3.264,62
24.8,3.264,62
24.8,3.264,62
24.9,3.264,62
24.9,3.264,62
24.9,3.264,62
24.9,3.264,63
25,3.264,63
25,3.264,63
25,3.272,63
25,3.272,63
25.1,3.272,63
25.1,3.272,63
25.1,3.272,63
25.1,3.272,63
25.1,3.279,63
25.2,3.279,63
25.2,3.279,63
