qq,RPI-XN-HDPE-Q i,HDPE-128,RPI-XN-HDPE-128,RPI-XN-HDPE-130,,q (A^-1),RPI-XN-4-71 in Co,RPI-XN-4-73-1280C,RPI-XN-4-73-1285C,RPI-XN-4-73-1290C,RPI-XN-4-73-1295C,RPI-XN-4-73-1300C,RPI-XN-4-73-1305C
1.21E-01,4.43E-02,4.89E-02,5.51E-02,7.51E-02,,1.21E-01,6.49E-01,0.727,0.816,0.801,0.767,0.313,0.689
1.22E-01,3.91E-02,4.82E-02,5.72E-02,6.99E-02,,1.22E-01,6.25E-01,0.699,0.772,0.759,0.73,0.288,0.635
1.24E-01,3.86E-02,4.66E-02,5.22E-02,6.73E-02,,1.24E-01,5.89E-01,0.664,0.74,0.736,0.701,0.282,0.619
1.25E-01,3.34E-02,4.47E-02,5.01E-02,6.78E-02,,1.25E-01,5.63E-01,0.634,0.712,0.709,0.674,0.271,0.58
1.27E-01,3.81E-02,4.31E-02,4.92E-02,6.05E-02,,1.27E-01,5.59E-01,0.612,0.687,0.674,0.651,0.255,0.563
1.28E-01,3.33E-02,4.11E-02,4.67E-02,5.88E-02,,1.28E-01,5.28E-01,0.579,0.638,0.643,0.609,0.251,0.547
1.30E-01,3.25E-02,4.17E-02,4.51E-02,5.70E-02,,1.30E-01,5.15E-01,0.562,0.628,0.63,0.6,0.228,0.522
1.31E-01,3.33E-02,3.88E-02,4.41E-02,5.11E-02,,1.31E-01,4.88E-01,0.533,0.598,0.575,0.569,0.22,0.494
1.33E-01,3.05E-02,3.77E-02,4.05E-02,5.38E-02,,1.33E-01,4.72E-01,0.514,0.563,0.576,0.557,0.222,0.48
1.34E-01,3.08E-02,3.49E-02,4.11E-02,5.13E-02,,1.34E-01,4.55E-01,0.486,0.549,0.558,0.517,0.207,0.459
1.36E-01,2.75E-02,3.41E-02,4.00E-02,5.09E-02,,1.36E-01,4.37E-01,0.468,0.527,0.514,0.501,0.202,0.454
1.37E-01,2.72E-02,3.46E-02,3.73E-02,4.98E-02,,1.37E-01,4.15E-01,0.455,0.505,0.489,0.486,0.189,0.422
1.39E-01,2.72E-02,3.31E-02,3.51E-02,4.72E-02,,1.39E-01,4.03E-01,0.435,0.493,0.472,0.478,0.189,0.409
1.40E-01,2.74E-02,3.28E-02,3.72E-02,4.63E-02,,1.40E-01,3.84E-01,0.421,0.473,0.477,0.438,0.179,0.403
1.41E-01,2.54E-02,3.14E-02,3.46E-02,4.47E-02,,1.41E-01,3.74E-01,0.411,0.448,0.454,0.442,0.175,0.376
1.43E-01,2.53E-02,2.99E-02,3.48E-02,4.31E-02,,1.43E-01,3.56E-01,0.395,0.434,0.44,0.425,0.166,0.363
1.44E-01,2.26E-02,2.78E-02,3.17E-02,4.34E-02,,1.44E-01,3.48E-01,0.377,0.432,0.424,0.407,0.164,0.351
1.46E-01,2.30E-02,3.06E-02,3.24E-02,4.05E-02,,1.46E-01,3.40E-01,0.364,0.413,0.407,0.392,0.158,0.348
1.47E-01,2.14E-02,2.67E-02,3.14E-02,3.89E-02,,1.47E-01,3.27E-01,0.354,0.386,0.388,0.371,0.153,0.329
1.49E-01,2.44E-02,2.61E-02,2.93E-02,3.80E-02,,1.49E-01,3.19E-01,0.332,0.387,0.383,0.356,0.142,0.321
1.50E-01,2.10E-02,2.45E-02,2.80E-02,3.71E-02,,1.50E-01,3.04E-01,0.328,0.358,0.365,0.361,0.141,0.307
1.52E-01,2.06E-02,2.49E-02,2.87E-02,3.74E-02,,1.52E-01,2.96E-01,0.322,0.353,0.349,0.335,0.134,0.293
1.53E-01,2.08E-02,2.31E-02,2.74E-02,3.60E-02,,1.53E-01,2.87E-01,0.311,0.338,0.347,0.337,0.133,0.296
1.55E-01,1.94E-02,2.49E-02,2.69E-02,3.31E-02,,1.55E-01,2.77E-01,0.298,0.332,0.338,0.316,0.129,0.283
1.56E-01,1.88E-02,2.45E-02,2.71E-02,3.21E-02,,1.56E-01,2.67E-01,0.295,0.32,0.327,0.301,0.125,0.263
1.58E-01,1.87E-02,2.36E-02,2.43E-02,3.28E-02,,1.58E-01,2.63E-01,0.283,0.305,0.314,0.3,0.12,0.267
